Table 2-1: Transportation Fatalities by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,
TOTAL fatalities,U,U,U,U,U,U,"47,297","44,391","41,947","42,736","43,514","44,507","44,732","44,412","43,863","43,975","44,276","44,873","45,292","45,121","45,028","45,641","45,061","43,347","39,542","35,978","35,036","34,570","35,696","34,685","(R)34,638","(R)36,973",U,,
"Air, total","1,286","1,290","1,456","1,473","1,382","1,595",866,"1,039",988,811,"1,057",963,"1,093",724,670,683,764,"1,166",616,699,637,603,774,540,568,548,477,499,450,430,444,404,U,,
U.S. air carrier a,499,261,146,124,1,526,39,62,33,1,239,168,380,8,1,12,92,531,0,22,14,22,50,1,3,52,2,0,0,9,0,0,U,,
Commuter carrier b,N,N,N,28,37,37,6,99,21,24,25,9,14,46,0,12,5,13,0,2,0,0,2,0,0,0,0,0,0,5,0,1,U,,
On-demand air taxi c,N,N,N,69,105,76,51,78,68,42,63,52,63,39,45,38,71,60,35,42,64,18,16,43,69,17,17,41,12,25,20,27,U,,
General aviation d,787,"1,029","1,310","1,252","1,239",956,770,800,866,744,730,734,636,631,624,621,596,562,581,633,559,563,706,496,496,479,458,458,438,391,424,376,U,,
"Highway, total","36,399","47,089","52,627","44,525","51,091","43,825","44,599","41,508","39,250","40,150","40,716","41,817","42,063","42,013","41,501","41,717","41,945","42,196","43,005","42,884","42,836","43,510","42,708","41,259","37,423","33,883","32,999","32,479","33,782","32,894","32,744","35,092",U,,
Passenger car occupants,N,N,N,"25,929","27,449","23,212","24,092","22,385","21,387","21,566","21,997","22,423","22,505","22,199","21,194","20,862","20,699","20,320","20,569","19,725","19,192","18,512","17,925","16,614","14,646","13,135","12,491","12,014","12,361","12,037","11,947","12,628",U,,
Motorcyclists,790,"1,650","2,280","3,189","5,144","4,564","3,244","2,806","2,395","2,449","2,320","2,227","2,161","2,116","2,294","2,483","2,897","3,197","3,270","3,714","4,028","4,576","4,837","5,174","5,312","4,469","4,518","4,630","4,986","4,692","4,594","4,976",U,,
"Truck occupants e, light",N,N,N,"4,856","7,486","6,689","8,601","8,391","8,098","8,511","8,904","9,568","9,932","10,249","10,705","11,265","11,526","11,723","12,274","12,546","12,674","13,037","12,761","12,458","10,816","10,312","9,782","9,302","9,418","9,187","9,103","9,813",U,,
"Truck occupants e, large",N,N,N,961,"1,262",977,705,661,585,605,670,648,621,723,742,759,754,708,689,726,766,804,805,805,682,499,530,640,697,695,656,667,U,,
Bus occupants,N,N,N,53,46,57,32,31,28,18,18,33,21,18,38,59,22,34,45,41,42,58,27,36,67,26,44,55,39,54,44,49,U,,
Pedestrians,"7,210","7,990","8,950","7,516","8,070","6,808","6,482","5,801","5,549","5,649","5,489","5,584","5,449","5,321","5,228","4,939","4,763","4,901","4,851","4,774","4,675","4,892","4,795","4,699","4,414","4,109","4,302","4,457","4,818","4,779","4,910","5,376",U,,
Pedalcyclists,490,690,760,"1,003",965,890,859,843,723,816,802,833,765,814,760,754,693,732,665,629,727,786,772,701,718,628,623,682,734,749,729,818,U,,
