Table 1-5:  U.S. Public Road and Street Mileage by Functional Systema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
TOTAL urban and rural mileage,"3,866,926","3,883,920","3,901,081","3,905,211","3,906,595","3,912,226","3,919,652","3,945,872","3,906,292","3,917,243","3,936,222","3,948,335","3,966,486","3,974,107","3,981,512","3,995,635","4,016,741","4,032,126","4,042,778","4,050,717","4,067,076","4,077,756","4,092,730","4,115,462","4,177,073","4,154,727",,
"Urban mileage, total","744,644","749,862","785,066","805,877","813,785","819,706","826,765","836,740","841,643","846,085","852,243","877,004","894,725","940,969","981,276","1,009,839","1,029,366","1,044,368","1,065,556","1,081,371","1,089,700","1,095,373","1,113,018","1,177,986","1,201,719","1,209,214",,
"Principal arterials, Interstates","11,527","11,602","12,516","12,877","13,126","13,164","13,217","13,247","13,276","13,343","13,379","13,411","13,491","14,460","15,129","15,703","16,044","16,312","16,555","16,578","16,682","16,704","16,910","17,896","18,567","19,063",,
"Principal arterials, other freeways, and expressways","7,668","7,709","8,491","8,841","8,994","8,970","9,027","9,063","9,163","9,132","9,140","9,121","9,323","9,870","10,246","10,560","10,748","10,913","11,335","11,399","11,319","11,495","11,469","11,602","11,784","12,038",,
"Principal arterials, other","51,968","52,515","51,900","52,708","53,110","52,796","52,983","53,223","53,132","53,199","53,314","53,056","53,439","56,870","59,695","61,803","62,830","63,282","64,557","64,524","65,105","64,982","65,193","66,510","66,761","66,855",,
Minor arterials,"74,659","74,795","80,815","86,821","87,857","88,510","89,020","89,185","89,496","89,432","89,789","89,962","90,411","93,888","97,433","101,673","102,975","104,033","106,172","108,958","107,366","107,292","108,328","111,028","112,288","113,592",,
Major collectors,"78,254","77,102","82,784","84,854","86,089","87,331","87,790","88,049","88,071","88,005","88,200","88,713","89,247","97,114","102,150","106,109","108,833","109,555","113,848","114,608","114,450","114,456","115,698","121,389","127,809","129,677",,
Minor collectors,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,79,"3,146","3,304","3,588","5,112","11,754","13,885",,
Local,"520,568","526,139","548,560","559,776","564,609","568,935","574,728","583,973","588,505","592,974","598,421","622,741","638,814","668,767","696,623","713,991","727,936","740,273","753,089","765,224","771,632","777,142","791,832","844,448","852,755","854,104",,
"Rural mileage, total","3,122,282","3,134,058","3,116,015","3,099,334","3,092,810","3,092,520","3,092,887","3,109,132","3,064,649","3,071,158","3,083,979","3,071,331","3,071,761","3,033,138","3,000,236","2,985,796","2,987,375","2,987,758","2,977,222","2,969,346","2,977,376","2,982,383","2,979,711","2,937,476","2,975,354","2,945,513",,
